date,price,volume
2017-08-17 02:01:00,4291.39,0.011431
2017-08-17 02:02:00,4291.39,1e-06
2017-08-17 02:03:00,4300.0,0.011445
2017-08-17 02:04:00,4300.0,1e-06
2017-08-17 02:05:00,4300.0,0.688725
2017-08-17 02:06:00,4300.0,0.0073
2017-08-17 02:07:00,4287.41,0.004263
2017-08-17 02:08:00,4287.41,1e-06
2017-08-17 02:09:00,4305.38,0.011552
2017-08-17 02:10:00,4316.62,0.229614
2017-08-17 02:11:00,4323.34,0.071
2017-08-17 02:12:00,4330.12,0.003553
2017-08-17 02:13:00,4323.34,0.236673
2017-08-17 02:14:00,4334.0,0.6408
2017-08-17 02:15:00,4334.0,0.3
2017-08-17 02:16:00,4334.0,0.12
2017-08-17 02:17:00,4334.0,0.105623
2017-08-17 02:18:00,4349.99,1.960811
2017-08-17 02:19:00,4349.99,0.144289
2017-08-17 02:20:00,4349.99,1e-06
2017-08-17 02:21:00,4349.99,0.284669
2017-08-17 02:22:00,4349.99,0.0356
2017-08-17 02:23:00,4333.32,0.194517
2017-08-17 02:24:00,4377.85,0.08239
2017-08-17 02:25:00,4377.85,1e-06
2017-08-17 02:26:00,4360.71,0.024952
2017-08-17 02:27:00,4360.71,1e-06
2017-08-17 02:28:00,4360.71,0.011481
2017-08-17 02:29:00,4360.7,0.015748
2017-08-17 02:30:00,4360.7,0.048614
2017-08-17 02:31:00,4360.7,1e-06
2017-08-17 02:32:00,4360.7,0.001024
2017-08-17 02:33:00,4360.0,0.064316
2017-08-17 02:34:00,4360.69,0.008408
2017-08-17 02:35:00,4360.69,0.021468
2017-08-17 02:36:00,4360.69,0.004046
2017-08-17 02:37:00,4360.69,1e-06
2017-08-17 02:38:00,4360.7,0.008232
2017-08-17 02:39:00,4360.69,0.023053
2017-08-17 02:40:00,4360.0,0.006296
2017-08-17 02:41:00,4360.0,1e-06
2017-08-17 02:42:00,4360.0,0.21
2017-08-17 02:43:00,4360.0,0.310001
2017-08-17 02:44:00,4360.0,0.320002
2017-08-17 02:45:00,4360.0,0.540001
2017-08-17 02:46:00,4360.0,0.908701
2017-08-17 02:47:00,4377.85,2.499913
2017-08-17 02:48:00,4400.0,1.58607
2017-08-17 02:49:00,4408.35,2.803352
2017-08-17 02:50:00,4408.35,0.834573
2017-08-17 02:51:00,4445.78,0.197755
2017-08-17 02:52:00,4445.78,0.4016
2017-08-17 02:53:00,4445.78,1e-06
2017-08-17 02:54:00,4445.78,0.009597
2017-08-17 02:55:00,4445.0,0.06674
2017-08-17 02:56:00,4436.51,0.0112
2017-08-17 02:57:00,4436.51,1e-06
2017-08-17 02:58:00,4444.0,0.025467
2017-08-17 02:59:00,4444.0,0.016214
2017-08-17 03:00:00,4444.0,1e-06
2017-08-17 03:01:00,4444.0,0.008156
2017-08-17 03:02:00,4444.0,0.007985
2017-08-17 03:03:00,4441.1,0.790001
2017-08-17 03:04:00,4441.1,1e-06
2017-08-17 03:05:00,4436.51,0.171696
2017-08-17 03:06:00,4436.51,0.113182
2017-08-17 03:07:00,4400.0,0.530001
2017-08-17 03:08:00,4400.0,0.003809
2017-08-17 03:09:00,4400.0,0.920409
2017-08-17 03:10:00,4400.0,1e-06
2017-08-17 03:11:00,4400.0,0.001767
2017-08-17 03:12:00,4400.0,0.050193
2017-08-17 03:13:00,4400.0,1.90398
2017-08-17 03:14:00,4400.0,0.174642
2017-08-17 03:15:00,4400.0,0.353101
2017-08-17 03:16:00,4443.0,0.06403
2017-08-17 03:17:00,4440.0,0.06732
2017-08-17 03:18:00,4440.0,0.1302
2017-08-17 03:19:00,4440.0,1e-06
2017-08-17 03:20:00,4400.0,0.3
2017-08-17 03:21:00,4419.0,0.270001
2017-08-17 03:22:00,4419.0,1.420003
2017-08-17 03:23:00,4419.0,1e-06
2017-08-17 03:24:00,4415.0,0.083709
2017-08-17 03:25:00,4415.0,0.004522
2017-08-17 03:26:00,4415.0,1e-06
2017-08-17 03:27:00,4443.9,11.901043
2017-08-17 03:28:00,4460.0,0.009597
2017-08-17 03:29:00,4460.0,0.068562
2017-08-17 03:30:00,4450.65,0.493671
2017-08-17 03:31:00,4460.0,0.440872
2017-08-17 03:32:00,4460.0,3.16907
2017-08-17 03:33:00,4460.0,0.511059
2017-08-17 03:34:00,4460.0,0.182374
2017-08-17 03:35:00,4460.0,0.161876
2017-08-17 03:36:00,4460.0,0.064754
2017-08-17 03:37:00,4460.0,0.50613
2017-08-17 03:38:00,4460.0,0.003825
2017-08-17 03:39:00,4470.0,0.647812
2017-08-17 03:40:00,4470.0,7.626505
2017-08-17 03:41:00,4470.0,0.257439
2017-08-17 03:42:00,4474.8,1.34852
2017-08-17 03:43:00,4474.8,0.245169
2017-08-17 03:44:00,4474.8,1e-06
2017-08-17 03:45:00,4454.72,0.008788
2017-08-17 03:46:00,4454.72,1e-06
2017-08-17 03:47:00,4461.07,0.010118
2017-08-17 03:48:00,4461.07,1e-06
2017-08-17 03:49:00,4474.8,5.940193
2017-08-17 03:50:00,4474.8,2.094218
2017-08-17 03:51:00,4474.8,1.596177
2017-08-17 03:52:00,4474.8,1.028876
2017-08-17 03:53:00,4474.8,1.146694
2017-08-17 03:54:00,4474.8,1.178146
2017-08-17 03:55:00,4474.8,0.997846
2017-08-17 03:56:00,4474.8,0.025318
2017-08-17 03:57:00,4485.39,0.449143
2017-08-17 03:58:00,4485.39,1e-06
2017-08-17 03:59:00,4485.39,0.324447
2017-08-17 04:00:00,4485.39,0.00392
2017-08-17 04:01:00,4485.39,0.048343
2017-08-17 04:02:00,4469.93,0.532753
2017-08-17 04:03:00,4469.93,1e-06
2017-08-17 04:04:00,4469.93,0.001986
2017-08-17 04:05:00,4469.93,0.02
2017-08-17 04:06:00,4468.93,0.171
2017-08-17 04:07:00,4468.93,0.314974
2017-08-17 04:08:00,4468.93,1e-06
2017-08-17 04:09:00,4449.56,0.088282
2017-08-17 04:10:00,4434.86,0.275404
2017-08-17 04:11:00,4434.86,0.248
2017-08-17 04:12:00,4434.86,0.000187
2017-08-17 04:13:00,4434.86,0.137571
2017-08-17 04:14:00,4449.56,0.064142
2017-08-17 04:15:00,4438.77,0.046937
2017-08-17 04:16:00,4449.56,0.11838
2017-08-17 04:17:00,4449.56,1e-06
2017-08-17 04:18:00,4427.3,0.020765
2017-08-17 04:19:00,4427.3,1e-06
2017-08-17 04:20:00,4436.06,0.061558
2017-08-17 04:21:00,4436.06,1e-06
2017-08-17 04:22:00,4436.06,1.532516
2017-08-17 04:23:00,4449.56,0.793284
2017-08-17 04:24:00,4447.66,0.480838
2017-08-17 04:25:00,4447.66,4.517824
2017-08-17 04:26:00,4447.66,0.046054
2017-08-17 04:27:00,4447.66,0.309107
2017-08-17 04:28:00,4448.89,0.434545
2017-08-17 04:29:00,4441.87,0.696494
2017-08-17 04:30:00,4441.87,1e-06
2017-08-17 04:31:00,4441.87,0.393453
2017-08-17 04:32:00,4441.87,0.187894
2017-08-17 04:33:00,4441.87,1.720591
2017-08-17 04:34:00,4441.87,0.081998
2017-08-17 04:35:00,4441.87,0.066163
2017-08-17 04:36:00,4441.87,0.256702
2017-08-17 04:37:00,4431.68,0.025
2017-08-17 04:38:00,4431.68,1e-06
2017-08-17 04:39:00,4430.95,0.00493
2017-08-17 04:40:00,4430.95,1e-06
2017-08-17 04:41:00,4430.95,3.614797
2017-08-17 04:42:00,4427.3,4.77324
2017-08-17 04:43:00,4425.25,0.026
2017-08-17 04:44:00,4423.2,0.94
2017-08-17 04:45:00,4423.2,1e-06
2017-08-17 04:46:00,4425.25,0.019559
2017-08-17 04:47:00,4418.12,0.113
2017-08-17 04:48:00,4418.12,1e-06
2017-08-17 04:49:00,4417.0,0.027508
2017-08-17 04:50:00,4417.0,1e-06
2017-08-17 04:51:00,4417.0,0.000293
2017-08-17 04:52:00,4417.0,0.09
2017-08-17 04:53:00,4417.0,0.135
2017-08-17 04:54:00,4427.3,0.029912
2017-08-17 04:55:00,4411.01,0.627854
2017-08-17 04:56:00,4431.13,0.17931
2017-08-17 04:57:00,4431.13,1e-06
2017-08-17 04:58:00,4420.5,0.077498
2017-08-17 04:59:00,4411.0,0.622
2017-08-17 05:00:00,4420.0,0.024782
2017-08-17 05:01:00,4420.0,1e-06
2017-08-17 05:02:00,4420.0,0.002218
2017-08-17 05:03:00,4411.0,0.120476
2017-08-17 05:04:00,4411.0,1e-06
2017-08-17 05:05:00,4411.0,0.28
2017-08-17 05:06:00,4430.0,0.330006
2017-08-17 05:07:00,4434.12,0.092424
2017-08-17 05:08:00,4445.88,0.037531
2017-08-17 05:09:00,4445.88,0.389654
2017-08-17 05:10:00,4445.88,1e-06
2017-08-17 05:11:00,4445.88,0.129328
2017-08-17 05:12:00,4430.43,0.013
2017-08-17 05:13:00,4430.43,1e-06
2017-08-17 05:14:00,4430.43,0.001479
2017-08-17 05:15:00,4440.0,0.147756
2017-08-17 05:16:00,4425.21,0.02715
2017-08-17 05:17:00,4425.21,1e-06
2017-08-17 05:18:00,4440.0,2.26999
2017-08-17 05:19:00,4435.12,0.513121
2017-08-17 05:20:00,4435.21,1.10672
2017-08-17 05:21:00,4440.0,0.433794
2017-08-17 05:22:00,4440.0,0.08141
2017-08-17 05:23:00,4440.0,0.221447
2017-08-17 05:24:00,4445.0,0.98704
2017-08-17 05:25:00,4445.0,0.99093
2017-08-17 05:26:00,4445.0,0.231016
2017-08-17 05:27:00,4445.0,0.41048
2017-08-17 05:28:00,4445.0,0.757662
2017-08-17 05:29:00,4445.0,1e-06
2017-08-17 05:30:00,4445.0,0.125884
2017-08-17 05:31:00,4445.0,1.645136
2017-08-17 05:32:00,4432.07,0.069
2017-08-17 05:33:00,4445.0,0.074829
2017-08-17 05:34:00,4432.07,5.628527
2017-08-17 05:35:00,4432.07,1e-06
2017-08-17 05:36:00,4432.07,1.842463
2017-08-17 05:37:00,4445.0,0.475496
2017-08-17 05:38:00,4445.0,1.12607
2017-08-17 05:39:00,4445.0,0.272969
2017-08-17 05:40:00,4445.0,0.146
2017-08-17 05:41:00,4445.0,7.00496
2017-08-17 05:42:00,4459.0,3.449164
2017-08-17 05:43:00,4459.0,1e-06
2017-08-17 05:44:00,4460.0,0.693599
2017-08-17 05:45:00,4460.0,1.113327
2017-08-17 05:46:00,4460.0,1.987536
2017-08-17 05:47:00,4460.0,1.910253
2017-08-17 05:48:00,4460.0,0.079967
2017-08-17 05:49:00,4460.0,1.089199
2017-08-17 05:50:00,4460.0,1e-06
2017-08-17 05:51:00,4460.0,1.055972
2017-08-17 05:52:00,4460.0,0.184417
2017-08-17 05:53:00,4460.0,0.945864
2017-08-17 05:54:00,4460.0,0.482478
2017-08-17 05:55:00,4452.75,3.42236
2017-08-17 05:56:00,4452.71,4.373493
2017-08-17 05:57:00,4452.71,1e-06
2017-08-17 05:58:00,4452.71,0.340744
2017-08-17 05:59:00,4452.71,0.284341
2017-08-17 06:00:00,4459.81,0.610223
2017-08-17 06:01:00,4459.81,0.013429
2017-08-17 06:02:00,4459.81,0.246348
2017-08-17 06:03:00,4460.0,0.454725
2017-08-17 06:04:00,4460.0,0.168366
2017-08-17 06:05:00,4469.35,0.119405
2017-08-17 06:06:00,4469.35,0.177506
2017-08-17 06:07:00,4437.35,0.296746
