price,volume
4261.48,1.775183
4261.48,1e-06
4280.56,0.261074
4261.48,0.012008
4261.48,0.140796
4261.48,1e-06
4261.48,1e-06
4261.48,1e-06
4261.48,1e-06
4261.48,1e-06
4261.48,1e-06
4261.48,1e-06
4261.48,1e-06
4261.48,1e-06
4261.48,1e-06
4261.48,1e-06
4261.48,1e-06
4264.88,0.075455
4264.88,1e-06
4261.48,0.409211
4264.88,1.483014
4266.29,0.845556
4266.29,1e-06
4266.29,1e-06
4266.29,1e-06
4266.29,0.467435
4266.29,1e-06
4266.29,0.405513
4266.29,2.963132
4261.45,2.470549
4280.0,1.696723
4274.67,0.459109
4274.67,0.702048
4267.99,4.127747
4296.63,0.952506
4300.38,1.038218
4300.38,1e-06
4300.38,0.64729
4300.38,0.630048
4300.38,3.31104
4300.38,1.728714
4300.38,0.945344
4300.38,0.624984
4310.07,0.979833
4310.07,4.079948
4310.07,0.129749
4310.07,0.698374
4310.07,0.292919
4310.07,0.235205
4292.01,1.091853
4310.07,1.24766
4313.62,0.611023
4313.6,2.011601
4313.6,0.563374
4313.6,0.325225
4291.37,4.635124
4313.6,0.213562
4308.83,1.332596
4308.83,1e-06
4308.83,0.560266
4308.83,1e-06
4308.83,0.136105
4308.83,1e-06
4308.83,0.21717
4304.31,0.12958
4328.69,3.256981
4328.69,0.512132
4328.69,0.342269
4328.69,0.152537
4328.69,0.010853
4328.69,0.155944
4328.69,1e-06
4320.0,0.064332
4304.31,0.12325
4304.31,1e-06
4320.0,0.63019
4319.99,4.193217
4319.99,1e-06
4320.0,0.083587
4320.0,0.544539
4320.0,0.956569
4320.0,1e-06
4320.0,0.241428
4320.0,0.062136
4320.0,2.18634
4319.22,4.112028
4320.0,2.081048
4320.0,0.06254
4320.0,1e-06
4320.0,0.793873
4320.0,0.179009
4320.0,0.590538
4320.0,0.048053
4320.0,0.030719
4320.0,0.179059
4320.0,0.501599
4320.0,0.019386
4320.0,0.373933
4320.0,0.09839
4291.37,0.134767
4291.37,1e-06
4291.37,1e-06
4291.37,1e-06
4291.37,1e-06
4291.37,1e-06
4297.04,0.007884
4297.04,1e-06
4297.04,1e-06
4297.04,1e-06
4297.04,1e-06
4297.04,1e-06
4297.04,1e-06
4315.32,0.000943
4315.32,1e-06
4315.32,1e-06
4315.32,1e-06
4315.32,1e-06
4315.32,0.021988
4315.32,1e-06
4315.32,1e-06
4315.32,1e-06
4315.32,1e-06
4315.32,1e-06
4315.32,1e-06
4330.29,0.009339
4318.39,0.0542
4318.39,1e-06
4318.39,1e-06
4318.39,1e-06
4318.39,1e-06
4318.39,1e-06
4330.0,0.001825
4330.0,1e-06
4330.0,1e-06
4330.0,1e-06
4330.0,1e-06
4330.0,1e-06
4330.0,1e-06
4330.0,1e-06
4330.0,1e-06
4330.0,1.708566
4330.29,0.193164
4330.0,0.449
4311.58,0.831346
4311.58,0.003552
4311.58,0.054285
4311.58,1e-06
4311.01,0.001
4311.02,0.26
4311.02,1e-06
4311.02,1e-06
4311.02,1e-06
4328.65,0.014785
4328.65,0.085183
4319.83,1.112933
4345.45,0.264959
4345.45,1e-06
4331.65,0.057069
4331.65,1e-06
4345.45,1.959247
4345.45,1e-06
4345.45,1e-06
4345.45,1e-06
4345.45,1e-06
4345.45,1e-06
4345.45,0.089016
4345.45,1e-06
4345.45,1e-06
4330.12,0.005594
4330.12,1e-06
4330.12,1e-06
4330.12,1e-06
4330.12,0.00641
4330.12,1e-06
4330.12,1e-06
4324.35,0.068218
4324.35,1e-06
4324.35,1e-06
4324.35,1e-06
4324.35,1e-06
4324.35,1e-06
4324.35,1e-06
4324.35,1e-06
4324.35,1e-06
4324.35,1e-06
4324.35,1e-06
4324.35,1e-06
4324.35,1e-06
4316.62,0.001541
4316.62,1e-06
4316.62,1e-06
4316.62,1e-06
4316.62,1e-06
4316.62,1e-06
4316.62,1e-06
4316.62,1e-06
4316.62,1e-06
4316.62,1e-06
4316.62,1e-06
4316.62,1e-06
4316.62,1e-06
4316.62,1e-06
4316.62,1e-06
4316.62,1e-06
4316.62,1e-06
4316.62,1e-06
4316.62,1e-06
4316.62,1e-06
4316.62,1e-06
4291.38,0.038918
4291.38,1e-06
4291.38,1e-06
4291.38,1e-06
4291.38,1e-06
4291.38,1e-06
4291.39,0.011431
4291.39,1e-06
4291.39,1e-06
4291.39,1e-06
4291.39,1e-06
4291.39,1e-06
4300.0,0.011445
4300.0,1e-06
4300.0,0.688725
4300.0,0.0073
4287.41,0.004263
4287.41,1e-06
4287.41,1e-06
4287.41,1e-06
4287.41,1e-06
4305.38,0.011552
4316.62,0.229614
4323.34,0.071
4330.12,0.003553
4323.34,0.236673
4334.0,0.6408
4334.0,0.3
4334.0,0.12
4334.0,0.105623
4349.99,1.960811
4349.99,0.144289
4349.99,1e-06
4349.99,0.284669
4349.99,0.0356
4333.32,0.194517
4377.85,0.08239
4377.85,1e-06
4377.85,1e-06
4360.71,0.024952
4360.71,1e-06
4360.71,1e-06
4360.71,1e-06
4360.71,1e-06
4360.71,1e-06
4360.71,1e-06
4360.71,1e-06
4360.71,1e-06
4360.71,1e-06
4360.71,1e-06
4360.71,1e-06
4360.71,0.011481
4360.71,1e-06
4360.71,1e-06
4360.71,1e-06
4360.71,1e-06
4360.7,0.015748
4360.7,0.048614
4360.7,1e-06
4360.7,1e-06
4360.7,1e-06
4360.7,1e-06
4360.7,1e-06
4360.7,1e-06
4360.7,1e-06
4360.7,0.001024
4360.7,1e-06
4360.7,1e-06
4360.7,1e-06
4360.7,1e-06
4360.0,0.064316
4360.69,0.008408
4360.69,0.021468
4360.69,0.004046
4360.69,1e-06
4360.69,1e-06
4360.69,1e-06
4360.69,1e-06
4360.69,1e-06
4360.69,1e-06
4360.7,0.008232
4360.7,1e-06
4360.69,0.023053
4360.69,1e-06
4360.69,1e-06
4360.69,1e-06
4360.69,1e-06
4360.69,1e-06
4360.69,1e-06
4360.69,1e-06
4360.69,1e-06
4360.69,1e-06
4360.69,1e-06
4360.69,1e-06
4360.69,1e-06
4360.69,1e-06
4360.69,1e-06
4360.69,1e-06
4360.69,1e-06
4360.69,1e-06
4360.0,0.006296
4360.0,1e-06
4360.0,1e-06
4360.0,1e-06
4360.0,1e-06
4360.0,1e-06
4360.0,1e-06
4360.0,1e-06
4360.0,0.21
4360.0,0.310001
4360.0,1e-06
4360.0,0.320002
4360.0,0.540001
4360.0,1e-06
4360.0,1e-06
4360.0,1e-06
4360.0,1e-06
4360.0,1e-06
4360.0,1e-06
4360.0,1e-06
4360.0,0.908701
4377.85,2.499913
4400.0,1.58607
4408.35,2.803352
4408.35,0.834573
4445.78,0.197755
4445.78,0.4016
4445.78,1e-06
4445.78,1e-06
4445.78,0.009597
4445.78,1e-06
4445.0,0.06674
4436.51,0.0112
4436.51,1e-06
4436.51,1e-06
4436.51,1e-06
4436.51,1e-06
4444.0,0.025467
4444.0,0.016214
4444.0,1e-06
4444.0,1e-06
4444.0,1e-06
4444.0,1e-06
4444.0,1e-06
4444.0,1e-06
4444.0,0.008156
4444.0,0.007985
4444.0,1e-06
4444.0,1e-06
4444.0,1e-06
4444.0,1e-06
4441.1,0.790001
4441.1,1e-06
4441.1,1e-06
4436.51,0.171696
4436.51,0.113182
4436.51,1e-06
4400.0,0.530001
4400.0,0.003809
4400.0,0.920409
4400.0,1e-06
4400.0,0.001767
4400.0,1e-06
4400.0,0.050193
4400.0,1.90398
4400.0,0.174642
4400.0,1e-06
4400.0,1e-06
4400.0,1e-06
4400.0,0.353101
4400.0,1e-06
4443.0,0.06403
4440.0,0.06732
4440.0,0.1302
4440.0,1e-06
4440.0,1e-06
4440.0,1e-06
4440.0,1e-06
4440.0,1e-06
4440.0,1e-06
4440.0,1e-06
4440.0,1e-06
4440.0,1e-06
4440.0,1e-06
4440.0,1e-06
4440.0,1e-06
4400.0,0.3
4419.0,0.270001
4419.0,1.420003
4419.0,1e-06
4419.0,1e-06
4419.0,1e-06
4419.0,1e-06
4415.0,0.083709
4415.0,0.004522
4415.0,1e-06
4415.0,1e-06
4415.0,1e-06
4415.0,1e-06
4443.9,11.901043
4460.0,0.009597
4460.0,0.068562
4450.65,0.493671
4460.0,0.440872
4460.0,3.16907
4460.0,0.511059
4460.0,0.182374
4460.0,0.161876
4460.0,0.064754
4460.0,0.50613
4460.0,0.003825
4470.0,0.647812
4470.0,7.626505
4470.0,0.257439
4474.8,1.34852
4474.8,0.245169
4474.8,1e-06
4474.8,1e-06
4474.8,1e-06
4454.72,0.008788
4454.72,1e-06
4454.72,1e-06
4461.07,0.010118
4461.07,1e-06
4461.07,1e-06
4474.8,5.940193
4474.8,2.094218
4474.8,1e-06
4474.8,1.596177
4474.8,1.028876
4474.8,1.146694
4474.8,1.178146
4474.8,0.997846
4474.8,1e-06
4474.8,1e-06
4474.8,0.025318
4485.39,0.449143
4485.39,1e-06
4485.39,0.324447
4485.39,0.00392
4485.39,1e-06
4485.39,0.048343
4485.39,1e-06
4485.39,1e-06
4485.39,1e-06
4485.39,1e-06
4485.39,1e-06
4485.39,1e-06
4485.39,1e-06
4469.93,0.532753
4469.93,1e-06
4469.93,1e-06
4469.93,1e-06
4469.93,1e-06
4469.93,1e-06
4469.93,0.001986
4469.93,0.02
4468.93,0.171
4468.93,0.314974
4468.93,1e-06
4468.93,1e-06
4449.56,0.088282
4434.86,0.275404
4434.86,0.248
4434.86,0.000187
4434.86,0.137571
4449.56,0.064142
4438.77,0.046937
4449.56,0.11838
4449.56,1e-06
4427.3,0.020765
4427.3,1e-06
4436.06,0.061558
4436.06,1e-06
4436.06,1.532516
4449.56,0.793284
4447.66,0.480838
4447.66,4.517824
4447.66,0.046054
4447.66,0.309107
4448.89,0.434545
4441.87,0.696494
4441.87,1e-06
4441.87,0.393453
4441.87,0.187894
4441.87,1.720591
4441.87,0.081998
4441.87,0.066163
4441.87,0.256702
4441.87,1e-06
4431.68,0.025
4431.68,1e-06
4430.95,0.00493
4430.95,1e-06
4430.95,3.614797
4427.3,4.77324
4425.25,0.026
4423.2,0.94
4423.2,1e-06
4425.25,0.019559
4418.12,0.113
4418.12,1e-06
4418.12,1e-06
4417.0,0.027508
4417.0,1e-06
4417.0,1e-06
4417.0,0.000293
4417.0,0.09
4417.0,1e-06
4417.0,0.135
4427.3,0.029912
4427.3,1e-06
4411.01,0.627854
4431.13,0.17931
4431.13,1e-06
4431.13,1e-06
4431.13,1e-06
4431.13,1e-06
4431.13,1e-06
4420.5,0.077498
4411.0,0.622
4420.0,0.024782
4420.0,1e-06
4420.0,1e-06
4420.0,0.002218
4411.0,0.120476
4411.0,1e-06
4411.0,1e-06
4411.0,1e-06
4411.0,1e-06
4411.0,1e-06
4411.0,0.28
4411.0,1e-06
4411.0,1e-06
4411.0,1e-06
4430.0,0.330006
4434.12,0.092424
4445.88,0.037531
4445.88,0.389654
4445.88,1e-06
4445.88,1e-06
4445.88,1e-06
4445.88,0.129328
4445.88,1e-06
4445.88,1e-06
4445.88,1e-06
4445.88,1e-06
4445.88,1e-06
4445.88,1e-06
4445.88,1e-06
4430.43,0.013
4430.43,1e-06
4430.43,1e-06
4430.43,1e-06
4430.43,0.001479
4440.0,0.147756
4440.0,1e-06
4440.0,1e-06
4425.21,0.02715
4425.21,1e-06
4440.0,2.26999
4435.12,0.513121
4435.21,1.10672
4440.0,0.433794
4440.0,0.08141
4440.0,0.221447
4445.0,0.98704
4445.0,0.99093
4445.0,0.231016
4445.0,0.41048
4445.0,0.757662
4445.0,1e-06
4445.0,1e-06
4445.0,1e-06
4445.0,0.125884
4445.0,1.645136
4445.0,1e-06
4432.07,0.069
4445.0,0.074829
4445.0,1e-06
4445.0,1e-06
4432.07,5.628527
4432.07,1e-06
4432.07,1.842463
4445.0,0.475496
4445.0,1.12607
4445.0,0.272969
4445.0,0.146
4445.0,7.00496
4459.0,3.449164
4459.0,1e-06
4460.0,0.693599
4460.0,1.113327
4460.0,1.987536
4460.0,1.910253
4460.0,0.079967
4460.0,1.089199
4460.0,1e-06
4460.0,1.055972
4460.0,0.184417
4460.0,0.945864
4460.0,0.482478
4460.0,1e-06
4452.75,3.42236
4452.71,4.373493
4452.71,1e-06
4452.71,0.340744
4452.71,0.284341
4452.71,1e-06
4459.81,0.610223
4459.81,0.013429
4459.81,0.246348
4460.0,0.454725
4460.0,0.168366
4469.35,0.119405
4469.35,0.177506
4437.35,0.296746
4469.35,0.091731
4469.35,0.772777
4467.81,0.709429
4467.81,0.024574
4467.81,0.393608
4467.81,0.558302
4467.81,4.300343
4467.81,0.065785
4484.0,0.049553
4484.0,0.153852
4484.0,0.053696
4485.0,0.284055
4484.0,0.249969
4484.0,0.141862
4485.0,1.058721
4485.0,0.156931
4485.0,0.600026
4485.39,1.643844
4477.53,0.144835
4477.53,1e-06
4477.53,0.243408
4477.53,0.04181
4477.53,0.606513
4477.53,0.508717
4477.53,0.082
4477.53,0.375093
4477.53,4.78714
4476.84,1.684968
4477.53,0.044254
4477.53,3.116285
4468.33,4.800608
4469.17,2.512693
4469.17,0.884215
4470.82,0.544002
4470.82,1.351499
